sys_frame,dia_frame,minorFS [%],majorFS [%],sysV [px^3],diaV [px^3],HR(heart rate)[bpm],SV(stroke volume)[px^3],EF(ejection fraction)[%]
2,4,15.802877958783668,10.436619384216133,1212117.8269005402,1909061.2681212062,100.0,696943.441220666,36.50712802457931
10,12,19.74052906466104,15.746200957157503,1052982.3628299197,1940166.5791869338,101.25,887184.2163570141,45.727218779781616
17,21,17.793489670191402,13.624171176215388,1097869.2573554907,1880814.528386467,106.25000000000001,782945.2710309762,41.62798932134247
25,28,19.48649529821565,13.84384038558849,1009784.3829706941,1808026.761247496,101.25,798242.3782768018,44.14992053137717
32,37,24.59578413958834,18.93025436832623,1028814.4811411166,2231963.0580548313,95.00000000000001,1203148.5769137149,53.905398325107846
41,45,23.08621593811388,14.60271735084567,1001526.4717794552,1982485.5200645116,112.5,980959.0482850564,49.48127178518485
48,52,21.72474880457883,15.974336328137726,1000927.6454127481,1944203.8246262798,100.0,943276.1792135317,48.51735025235077
56,60,18.309572590446308,15.557570834673273,1093882.8175469632,1941188.6605974277,106.25000000000001,847305.8430504645,43.648814782881246
64,67,21.192691401662586,13.34119112798577,1037607.0167051038,1927911.9392411849,100.0,890304.922536081,46.179750455121926
72,75,21.87935807600747,17.978101650359942,994538.1404313729,1986826.8472968347,100.0,992288.7068654618,49.94339130334957
80,83,21.523963018978783,12.408602327835274,984223.1147653443,1824559.2779787667,100.0,840336.1632134224,46.05693952264136
88,91,21.336230447070353,13.23461238719535,1021291.2030867144,1902188.5890640293,106.25000000000001,880897.3859773149,46.30967670827843
95,99,21.40090025749217,17.137996539073896,1025192.3354696602,2002694.8341125194,106.25000000000001,977502.4986428592,48.809358370169896
103,106,23.74940792433728,17.345279016759118,980976.534750796,2041289.0895903665,100.0,1060312.5548395705,51.943282323247395
111,114,22.129312568343412,14.692780967202893,1005466.643127732,1943720.7259670594,100.0,938254.0828393274,48.27103350315503
119,122,20.724327786614378,12.094503015861875,1099727.487580142,1990623.744717314,100.0,890896.2571371719,44.75462826671381
127,130,19.79655605118736,17.83387144199919,1031419.0270435864,1951444.8374537746,100.0,920025.8104101883,47.145878415432364
135,138,22.745581779649246,16.893047684676294,970796.6656520983,1957240.8305348274,100.0,986444.1648827292,50.399733619555526
143,146,20.843185276989708,16.87893304584954,981477.848427974,1884485.3832757247,106.25000000000001,903007.5348477507,47.91799092005103
150,154,21.71753437495069,18.895111945294005,978794.8562490365,1969317.1239019826,100.0,990522.2676529461,50.297753248107476
